product_id,product_name,description,price,category,supplier_id,created_at,updated_at
1,Soupcontfoam16oz 116con,"Frostbite w tissue necros unsp knee and lower leg, sequela","€52,75",vvvv,1,2024-01-04,2023-04-30
2,"Beans - Black Bean, Canned",Toxoplasma myositis,"€757,67",aaaa,2,2024-04-15,2023-08-31
3,"Cheese - Cheddar, Mild","Adult psychological abuse, suspected, subsequent encounter","€487,65",Food & Drink,3,2023-04-09,2023-03-25
4,"Cake Circle, Foil, Scallop","Cannabis dependence, in remission","€214,93",Attractions,4,2024-04-20,2024-05-20
5,Shrimp - 150 - 250,"Collapsed vert, NEC, sacr/sacrocygl rgn, 7thG","€547,39",aaaa,5,2024-04-12,2023-07-04
6,Wine - Chateau Timberlay,"Sltr-haris Type I physl fx low end l tibia, 7thG","€712,60",Food & Drink,6,2023-04-25,2023-06-22
7,Almonds Ground Blanched,"Oth traum nondisp spondylolysis of 7th cervcal vert, 7thG","€381,75",Beauty & Fitness,7,2023-08-19,2023-07-02
8,"Soup - Campbells, Cream Of","Assault by antipersonnel bomb, subsequent encounter","€65,90",aaaa,8,2023-05-03,2024-05-04
9,Mackerel Whole Fresh,"Unspecified superficial injury of lip, initial encounter",,Beauty & Fitness,9,2024-01-17,2023-11-24
10,Turkey Leg With Drum And Thigh,"Infct of amniotic sac and membrns, unsp, third tri, fetus 5","€934,02",Food & Drink,10,2024-01-21,2023-07-19
